ALIMENT;CALORIES
Rutabaga, cru;33.8
Haricot beurre, surgelé, cru;32.3
Brocoli, surgelé, cru;27.2
Chou de Bruxelles, surgelé, cru;44
Carotte, surgelée, crue;30.2
Concombre, pulpe, cru;11.4
Petits pois et carottes, surgelés, crus;55.9
Roquette, crue;27.9
Chou frisé, cru;53.5
Champignon de Paris ou champignon de couche, surgelé, cru;16.1
Courgette, pulpe et peau, surgelée, crue;17.9
Crosne, surgelé, cru;51.8
Artichaut, fond, surgelé, cru;54.5
Maïs doux, surgelé, cru;105
Navet, surgelé, cru;19.8
Oignon, surgelé, cru;31.5
Poireau, surgelé, cru;34.5
Salsifis, surgelé, cru;41.1
Légumes pour potages, surgelés, crus;34.1
Julienne ou brunoise de légumes, surgelée, crue;27.9
Légumes pour ratatouille, surgelés;21.1
Printanière de légumes, surgelée, crue (haricots verts, carottes, pomme de terre, petits pois, oignons);51.5
Haricot plat, cru;32.6
Mesclun ou salade, mélange de jeunes pousses;22
Asperge, verte, crue;24.7
Chou romanesco ou brocoli à pomme, cru;28.8
Asperge, blanche ou violette, pelée, crue;26.3
Salicorne (Salicornia sp.), fraîche;14.1
Légumes pour couscous, surgelés, crus;44.3
Salade verte, crue, sans assaisonnement;13.5
Banane plantain, crue;132
Artichaut, cuit;33.2
Asperge, bouillie/cuite à l'eau;19.8
Aubergine, cuite;32.5
Betterave rouge, cuite;47.2
Bette ou blette, cuite;20.6
Brocoli, cuit;22.8
Carotte, appertisée, égouttée;25.4
Carotte, cuite;19
Champignon, tout type, appertisé, égoutté;24.9
Chou de Bruxelles, cuit;34.6
Chou vert, cuit;25.1
Chou-fleur, cuit;20.9
Coeur de palmier, appertisé, égoutté;34.9
Courgette, pulpe et peau, cuite;15.5
Céleri branche, cuit;12.1
Céleri-rave, cuit;36.5
Épinard, cuit;21.5
"Haricot mungo germé ou pousse de ""soja"", appertisé, égoutté";20.6
Haricot vert, cuit;29.4
Navet, cuit;25
Oignon, cuit;34.6
Petits pois, appertisés, égouttés;79.1
Petits pois, cuits;61.4
Poireau, cuit;24.6
Potiron, appertisé, égoutté;108
Salsifis, cuit;65.7
Tomate, pelée, appertisée, égouttée;16.7
Maïs doux, en épis, cuit;80.2
Macédoine de légumes, appertisée, égouttée;40.6
Épinard, appertisé, égoutté;24.5
Haricot vert, appertisé, égoutté;22
Haricot beurre, appertisé, égoutté;24.6
Maïs doux, appertisé, égoutté;110
Artichaut, appertisé, égoutté;30.8
Tomate, concentré, appertisé;99.2
Haricot vert, surgelé, cuit;35.9
Asperge, appertisée, égouttée;17.9
Chou de Bruxelles, appertisé, égoutté;37.9
Céleri branche, appertisé, égoutté;13.5
Champignon de Paris ou champignon de couche, appertisé, égoutté;19.5
Salsifis, appertisé, égoutté;32.2
Poivron vert, cuit;17.4
Poivron rouge, cuit;39.9
Petits pois et carottes, appertisés, égouttés;50.1
Chou-rave, bouilli/cuit à l'eau;28
Chou rouge, bouilli/cuit à l'eau;25.3
Potiron, cuit;25.9
Champignon de Paris ou champignon de couche, bouilli/cuit à l'eau;28.7
Fenouil, bouilli/cuit à l'eau;12.2
Épinard, surgelé, cuit;33.3
Chou-fleur, surgelé, cuit;18
Petits pois, surgelés, cuits;66.8
Champignon de Paris ou champignon de couche, sauté/poêlé, sans matière grasse;29.1
Panais, cuit;67.8
Fondue de poireau;58.4
Courge spaghetti, pulpe, cuite;28
Artichaut, fond, appertisé, égoutté;31.9
Tétragone cornue, cuite;13.5
Rutabaga, cuit;26
Tomate, pulpe, appertisée;34.4
Tomate, purée, appertisée;47.1
Bambou, pousses, appertisées, égouttées;17.9
Brocoli, surgelé, cuit;28.8
Chou de Bruxelles, surgelé, cuit;43.2
Carotte, surgelée, cuite;32.9
Champignon, lentin comestible ou shiitaké, cuit;60.9
Petits pois et carottes, surgelés, cuits;50.4
Pois mange-tout ou pois gourmand, bouilli/cuit à l'eau;37.8
Chou frisé, cuit;29.7
Chou chinois (pak-choi ou pé-tsai), cuit;13.3
Cardon, cuit;22
Tomate, pulpe et peau, bouillie/cuite à l'eau;18.7
Pois mange-tout ou pois gourmands, cuits;47.3
Échalote, cuite;71.6
Haricots verts, purée;56.3
Légumes (3-4 sortes en mélange), purée;57.8
Brocoli, purée;29.2
Tomate, coulis, appertisé (purée de tomates mi-réduite à 11%);49.3
Carotte, purée;64.2
Courgette, purée;57.3
Tomate, double concentré, appertisé;92.8
Macédoine de légumes, surgelée;54.5
Poivron rouge, appertisé, égoutté;31.6
Céleri-rave, purée;26.4
Petits pois, purée;86
Épinard, purée;59.8
Légumes pour couscous, cuits;25.4
Gombo, fruit, cuit;22.4
Carotte, déshydratée;317
Oignon, séché;355
Tomate, séchée;282
Champignon, lentin comestible ou shiitaké, séché;316
Tomate, séchée, à l'huile;189
Fève à écosser, fraîche;61.5
Lentille, germée;123
Lupin, graine crue;356
Fève, fraîche, surgelée;83.4
Haricot flageolet, surgelé;119
Fève, pelée, surgelée, crue;135
Haricot blanc, sec;302
Lentille, sèche;332
Pois cassé, sec;344
Pois chiche, sec;351
Fève, sèche;301
Haricot rouge, sec;314
Haricot mungo, sec;334
Lentille corail, sèche;346
Haricot flageolet, vert, sec;315
Lentille verte, sèche;325
Lentille blonde, sèche;317
Fève, cuite;78.6
Haricot blanc, cuit;116
Haricot rouge, cuit;109
Lentille, cuite;106
Pois cassé, cuit;126
Haricot flageolet, appertisé, égouttés;92.9
Lentille, cuisinée, appertisée, égouttée;87.3
Haricot blanc, appertisé, égoutté;89.1
Haricot flageolet, cuit;106
Haricot rouge, appertisé, égoutté;110
Haricot mungo, cuit;95.7
Pois chiche, appertisé, égoutté;127
Haricot flageolet, vert, cuit;129
Tapioca ou Perles du Japon, cru;354
Pomme de terre, sans peau, cuite au four;91.9
Pomme de terre, bouillie/cuite à l'eau;79.4
Chips de pommes de terre, standard;545
Pomme de terre, sans peau, crue;81.3
Pomme de terre, appertisée, égouttée;59.9
Pomme de terre noisette, surgelée, crue;181
Pomme de terre vapeur, sous vide;73.6
Pomme de terre, sautée/poêlée;126
Pomme de terre, flocons déshydratés, au lait ou à la crème;371
Pomme de terre, purée à base de flocons, reconstituée avec lait entier, matière grasse;97.9
Pomme de terre, purée, avec lait et beurre, non salée;88.9
Pomme de terre, purée à base de flocons, reconstituée avec lait demi-écrémé et eau, non salée;67.3
Pomme de terre dauphine, surgelée, crue;285
Pomme de terre dauphine, surgelée, cuite;302
Pomme de terre, flocons déshydratés, nature;361
Pomme de terre nouvelle, crue;76.4
Potatoes ou Wedges ou Quartiers de pommes de terre épicés, surgelées, cuites;143
Pomme de terre, rôtie/cuite au four;88.1
Pomme de terre rissolée, surgelée, cuite;140
Pomme de terre de conservation, sans peau, bouillie/cuite à l'eau;76.1
Pomme de terre primeur, sans peau, bouillie/cuite à l'eau;71.6
Frites de pommes de terre, surgelées, rôties/cuites au four;213
Frites de pommes de terre, surgelées, cuites en friteuse;267
Pomme de terre duchesse, surgelée, cuite;218
Pomme de terre noisette, surgelée, cuite;191
Pomme de terre sautée/poêlée à la graisse de canard;213
Chips de pommes de terre, à l'ancienne;569
Chips de pommes de terre et assimilés, allégées en matière grasse;467
Rostis ou Galette de pomme de terre;185
Pomme de terre duchesse, surgelée, crue;178
Pomme de terre rissolée, surgelée, crue;135
Frites de pommes de terre, surgelées, pour cuisson rôtie/ au four;154
Frites de pommes de terre, surgelées, pour cuisson micro-ondes;254
Frites de pommes de terre, surgelées, pour cuisson en friteuse;244
Patate douce, crue;86.3
Patate douce, cuite;62.8
Patate douce, purée, cuisinée à la crème;79.8
Topinambour, cuit;81.9
Topinambour, cru;60.7
Banane plantain, cuite;125
Taro, tubercule, cru;107
Taro, tubercule, cru;131
Igname, épluchée, crue;111
Igname, épluchée, bouillie/cuite à l'eau;109
Manioc, racine crue;157
Manioc, racine cuite;132
Fruit à pain, cru;105
Abricot, dénoyauté, cru;48.5
Ananas, pulpe, cru;54.3
Banane, pulpe, crue;72.3
Cassis, cru;63.6
Cerise, dénoyautée, crue;63.7
Citron, pulpe, cru;39.1
Coing, cru;-
Figue, crue;-
Fraise, crue;34.9
Framboise, crue;46.3
Fruit de la passion ou maracudja, pulpe et pépins, cru;84.4
Grenade, pulpe et pépins, crue;75.9
Groseille, crue;58
Groseille à maquereau, crue;40.1
Kiwi, pulpe et graines, cru;58.5
Litchi, pulpe, cru;-
Mangue, pulpe, crue;63.7
Melon cantaloup (par ex.: Charentais, de Cavaillon) pulpe, cru;41.9
Myrtille, crue;59.3
Mûre (de ronce), crue;41.1
Nectarine ou brugnon, pulpe et peau, crue;-
Orange, pulpe, crue;46.4
Papaye, pulpe, crue;-
Pastèque, pulpe, crue;34.7
Poire, pulpe et peau, crue;-
Pomme, pulpe et peau, crue;-
Pomelo (dit Pamplemousse), pulpe, cru;35.1
Prune Reine-Claude, crue;-
Pêche, pulpe et peau, crue;-
Raisin blanc, à gros grain (type Italia ou Dattier), cru;-
Raisin noir, cru;-
Rhubarbe, tige, crue;20.4
Pomme, pulpe, crue;-
Carambole, pulpe, crue;-
Figue de Barbarie, pulpe et graines, crue;-
Kaki, pulpe, cru;-
Citron vert ou Lime, pulpe, cru;32.8
Mûre noire (du mûrier), crue;-
Tamarin, fruit immature, pulpe, cru;-
Clémentine, pulpe, crue;-
Goyave, pulpe, crue;55.1
Pomme Canada, pulpe, crue;-
Mandarine, pulpe, crue;-
Prune, crue;-
Poire, pulpe, crue;-
Griotte, crue;-
Raisin, cru;-
Canneberge ou cranberry, crue;-
Citron, zeste, cru;-
Sureau, baie, crue;-
Myrtille, surgelée, crue;-
Salade de fruits, crue;-
Framboise, surgelée, crue;-
Mûre (de ronce), surgelée, crue;-
Pomelo (dit Pamplemousse) jaune, pulpe, cru;-
Pomelo (dit Pamplemousse) rose, pulpe, cru;-
Kumquat, sans pépin, cru;-
Pamplemousse chinois, pulpe, cru;-
Melon miel ou melon honeydew, pulpe, cru;-
Fruits rouges, crus (framboises, fraises, groseilles, cassis);-
Abricot, dénoyauté, sec;-
Datte, pulpe et peau, sèche;287
Figue, sèche;264
Pruneau, sec;-
Raisin, sec;283
Banane, pulpe, sèche;-
Pomme, sèche;-
Pêche, sèche;-
Macédoine ou cocktail ou salade de fruits, au sirop, appertisé, égoutté;-
Macédoine ou cocktail ou salade de fruits, au sirop, appertisé, non égoutté;-
Macédoine ou cocktail ou salade de fruits, au sirop léger, appertisé, égoutté;-
Macédoine ou cocktail ou salade de fruits, au sirop léger, appertisé, non égoutté;-
Abricot au sirop léger, appertisé, égoutté;-
Abricot au sirop léger, appertisé, non égoutté;-
Abricot au sirop, appertisé, égoutté;-
Abricot au sirop, appertisé, non égoutté;-
Ananas au sirop et jus d'ananas, appertisé, égoutté;-
Ananas au sirop et jus d'ananas, appertisé, non égoutté;-
Ananas au sirop léger, appertisé, égoutté;-
Ananas au sirop léger, appertisé, non égoutté;-
Pêche au sirop léger, appertisée, égouttée;-
Pêche au sirop léger, appertisée, non égouttée;-
Poire au sirop léger, appertisée, non égouttée;-
Confiture de fraise (extra ou classique);-
Confiture d'abricot (extra ou classique);-
Confiture de cerise (extra ou classique);-
Marmelade d'orange;-
Confiture de framboise (extra ou classique);-
Confiture, tout type de fruits, allégée en sucres (extra ou classique);-
Compote de pomme;102
Compote, tout type de fruits;-
Compote, tout type de fruits, allégée en sucres;-
Compote, tout type de fruits, allégée en sucres, rayon frais;-
Dessert de fruits, tout type de fruits (en taux de sucres : compotes allégées en sucres < desserts de fruits < compotes allégée);-
"Purée de fruits, tout type de fruits, type ""compote sans sucres ajoutés""";-
Rhubarbe, tige, cuite, sucrée;-
Pomme, pulpe, rôtie/cuite au four;-
Pomme, pulpe, bouillie/cuite à l'eau;-
Eau de coco;17.9
Lait de coco ou Crème de coco;188
Jus d'ananas, à base de concentré;49.7
Jus multifruit, pur jus, multivitaminé;-
Jus de carotte, pur jus;-
Jus de citron, maison;29.4
Jus multifruit - base orange, multivitaminé;-
Jus d'orange, à base de concentré;38.5
Jus d'orange, maison;45
Jus de pomme, à base de concentré;44
Jus de pamplemousse (pomélo), à base de concentré;38
Jus de raisin, pur jus;68.1
Jus de grenade, pur jus;-
Jus de pruneau;-
Jus de raisin, à base de concentré;61.8
Mangue, jus frais;-
Fruit de la passion ou maracudja, jus frais;-
Jus de pamplemousse (pomélo), maison;38.5
Jus de tomate, pur jus, salé à 3 g/L;20.4
Jus de pamplemousse (pomelo), pur jus;38.7
Jus de citron, pur jus;-
Jus de citron vert, maison;-
Jus de citron vert, pur jus;24.1
Jus de tomate, pur jus, salé à 6g/L;19.1
Jus de clémentine ou mandarine, pur jus;-
Jus multifruit, pur jus, standard;-
Grenade, jus frais;-
Jus multifruit, à base de concentré, standard;-
Jus d'orange, pur jus;45
Jus d'ananas, pur jus;52.5
Jus de pomme, pur jus;43.6
Smoothie;-
Nectar d'abricot;-
Nectar de papaye;-
Nectar de poire;-
Nectar multifruit, multivitaminé;-
Nectar multifruit, standard;53.1
Nectar de fruit de la passion ou maracuja;68
Nectar de banane;-
Nectar de goyave;-
Nectar de mangue;51.4
Nectar de pêche;-
Nectar d'orange;39.8
Farine de châtaigne;362
Amande (avec peau);634
Cacahuète ou Arachide;636
Cacahuète, grillée, salée;633
Noisette;682
Noix, séchée, cerneaux;698
Noix de coco, amande mûre, fraîche;365
Noix de coco, amande, sèche;690
Noix du Brésil;702
Pistache, grillée, salée;617
Sésame, graine;599
Tournesol, graine;653
Crème de marrons;266
Noix de coco, amande immature, fraîche;360
Crème de marrons vanillée, appertisée;258
Mélange apéritif de graines salées et raisins secs;562
Noix de cajou, grillée, salée;632
Châtaigne, bouillie/cuite à l'eau;139
Châtaigne, grillée;236
Noix, fraîche;703
Châtaigne, crue;190
Pignon de pin;695
Noix de pécan;736
Noix de macadamia;740
Cucurbitacées, graine;615
Luzerne, graine germée;29.2
Luzerne, graine;426
Noisette grillée;704
Lin, graine;506
Sésame, graine décortiquée;646
Cacahuète, grillée;627
Sésame, grillé, graine décortiquée;582
Châtaigne ou Marron, appertisé;145
Amande, mondée, émondée ou blanchie;636
Amande, grillée, salée;638
Noix de macadamia, grillée, salée;724
Pistache, grillée;608
Tournesol, graine, grillé, salé;618
Noix de pécan, salées;731
Chia, graine, séchée;454
Mélange apéritif de graines (non salées) et fruits séchés;384
Mélange apéritif de graines (non salées) et raisins secs;543
Noisette grillée, salée;664
Pâte d'amande, préemballée;450
Beurre de cacahuète ou Pâte d'arachide;648
Tahin ou Purée de sésame;631
Arachide, bouillie/cuite à l'eau, salée;320
Soja, graine entière;432
Édulcorant à l'aspartame, en pastilles;216
Édulcorant à l'aspartame, en poudre;382
Vermicelles multicolores;420
Miel;327
Sucre blanc;399
Sucre roux;389
Sirop d'érable;269
Confiture de lait;-
Sucre vanillé;398
Édulcorant à la saccharine;360
Mélasse de canne;300
Sucre allégé à l'aspartame;398
Fructose;399
Édulcorant à base d'extrait de stévia;238
Sirop d'agave;318
Bonbons, tout type;-
Chewing-gum, sucré;-
Pâte de fruits;335
Zeste d'orange confit;336
Fruit confit;313
Nougat ou touron;511
Dragée amande;470
Guimauve ou marshmallow;-
Chewing-gum, sans sucre;228
Bonbon dur et sucette;385
Bonbon gélifié;-
Bonbon au caramel, mou;-
Barre chocolatée biscuitée;519
Barre chocolatée non biscuitée enrobée;496
Barre à la noix de coco, enrobée de chocolat;475
Chocolat au lait, tablette;555
Chocolat noir à moins de 70% de cacao, à croquer, tablette;527
Chocolat au lait aux céréales croustillantes, tablette;515
Chocolat blanc, tablette;563
Barres ou confiserie chocolatées au lait;550
Chocolat au lait aux fruits secs (noisettes, amandes, raisins, praline), tablette;559
Chocolat au lait sans sucres ajoutés, avec édulcorants, tablette;487
Chocolat blanc aux fruits secs (noisettes, amandes, raisins, praliné) , tablette;579
Chocolat noir sans sucres ajoutés, avec édulcorants, en tablette;525
Pâte à tartiner chocolat et noisette;549
Confiserie au chocolat dragéifiée;504
Cacahuètes enrobées de chocolat dragéifiées;513
Bouchée chocolat fourrage fruits à coques et/ou praliné;558
Rocher chocolat fourré praliné;558
Chocolat noir aux fruits (orange, framboise, poire), tablette;539
Chocolat noir aux fruits secs (noisettes, amandes, raisins, praline), tablette;565
Barre chocolatée aux fruits secs;494
Chocolat noir fourrage confiseur à la menthe;511
Barre goûter frais au lait et chocolat;554
Chocolat noir à 70% cacao minimum, extra, dégustation, tablette;572
Chocolat au lait fourré;611
Chocolat noir fourré praliné, tablette;559
Chocolat au lait fourré au praliné, tablette;559
Chocolat noir à 40% de cacao minimum, à pâtisser, tablette;546
Bonbon / bouchée au chocolat fourrage gaufrettes / biscuit;521
Barre goûter frais au lait et chocolat avec génoise;499
Limonade, sucrée;34.1
Boisson à l'eau minérale ou de source, aromatisée, sucrée;15.1
Tonic ou bitter, sucré, avec édulcorants;26
Boisson au thé, aromatisée, sucrée, avec édulcorants;21.2
Limonade, sucrée, avec édulcorants;12
Cola, sucré;41.8
Boisson gazeuse aux fruits (de 10 à 50% de jus), sucrée;42.4
Boisson plate aux fruits, (à moins de 10% de jus), non sucrée, avec édulcorants;5.37
Boisson plate aux fruits (à moins de 10% de jus), sucrée;19.1
Boisson gazeuse, sans jus de fruit, sucrée;37.6
Boisson gazeuse, sans jus de fruit, à teneur réduite en sucres;26.2
Boisson gazeuse aux fruits (à moins de 10% de jus), sucrée, avec édulcorants;28
Cola, sucré, avec édulcorants;26.7
Diabolo (limonade et sirop);42.8
Boisson gazeuse aux fruits (à moins de 10% de jus), sucrée;40.7
Boisson gazeuse aux fruits (de 10 à 50% de jus), non sucrée, avec édulcorants;-
Boisson préparée à partir de sirop à diluer type menthe, fraise, etc, sucré, dilué dans l'eau;31.2
Boisson au thé, aromatisée, à teneur réduite en sucres;-
Cola, sucré, sans caféine;43.8
Boisson au thé, aromatisée, sucrée;27.3
Boisson gazeuse, sans jus de fruit, sucrée, avec édulcorants;27.2
Boisson plate aux fruits (10 à 50% de jus), à teneur réduite en sucres;-
Boisson plate aux fruits (10 à 50% de jus), non sucrée, avec édulcorants;-
Boisson plate aux fruits (teneur en jus non spécifiée), sucrée;-
Boisson plate aux fruits (10 à 50% de jus), sucrée;42.6
Boisson gazeuse aux fruits (à moins de 10% de jus), non sucrée, avec édulcorants;3.26
Boisson gazeuse à la pomme (de 50 à 99% de fruits), non sucrée;-
Tonic ou bitter, sucré;34.1
Boisson gazeuse aux fruits (à moins de 10% de jus), non sucrée, sans édulcorant;16.7
Boisson énergisante, sucrée;48.7
Eau du robinet;0
Eau embouteillée de source;0
Eau minérale Abatilles, embouteillée, non gazeuse, faiblement minéralisée (Arcachon, 33);0
Eau minérale Aix-les-Bains, embouteillée, non gazeuse, faiblement minéralisée (Aix-les-Bains, 73);0
Eau minérale Aizac, embouteillée, gazeuse, faiblement minéralisée (Aizac, 07);0
Eau minérale Amanda, embouteillée, non gazeuse, fortement minéralisée (St-Amand, 59);0
Eau minérale Arcens, embouteillée, gazeuse, moyennement minéralisée (Arcens, 07);0
Eau minérale Ardesy, embouteillée, gazeuse, fortement minéralisée (Ardes, 63);0
Eau minérale Auvergne, embouteillée, gazeuse, fortement minéralisée (Cornillon, 38);0
Eau minérale Celtic, embouteillée, gazeuse ou non gazeuse, très faiblement minéralisée (Niederbronn, 67);0
Eau minérale Chambon, embouteillée, non gazeuse, faiblement minéralisée (Chambon, 45);0
Eau minérale Chantemerle, embouteillée, non gazeuse, faiblement minéralisée (Le Pestrin, 07);0
Eau minérale Chateauneuf, embouteillée, gazeuse, fortement minéralisée (Chateauneuf, 63);0
Eau minérale Chateldon, embouteillée, gazeuse, fortement minéralisée (Chateldon, 63);0
Eau minérale Clos de l'Abbaye, embouteillée, non gazeuse, moyennement minéralisée (St-Amand, 59);0
Eau minérale Contrex, embouteillée, non gazeuse, fortement minéralisée (Contrexéville, 88);0
Eau minérale Dax, embouteillée, non gazeuse, moyennement minéralisée (Dax, 40);0
Eau minérale Didier, embouteillée, gazeuse, fortement minéralisée (Martinique);0
Eau minérale Didier, embouteillée non gazeuse, fortement minéralisée (Martinique);0
Eau minérale Evian, embouteillée, non gazeuse, faiblement minéralisée (Evian, 74);0
Eau minérale Hépar, embouteillée, non gazeuse, fortement minéralisée (Vittel, 88);0
Eau minérale Hydroxydase, embouteillée, gazeuse, fortement minéralisée (Le Breuil sur Couze, 63);0
Eau minérale Vernière, embouteillée, gazeuse, moyennement minéralisée (Les Aires, 34);0
Eau minérale Luchon, embouteillée, non gazeuse, faiblement minéralisée (Luchon, 31);0
Eau minérale Mont-Roucous, embouteillée, très faiblement minéralisée (Lacaune, 81);0
Eau de source Ogeu, embouteillée, faiblement minéralisée (Ogeu, 64);0
Eau minérale Orée du bois, embouteillée, non gazeuse, moyennement minéralisée (St-Amand, 59);0
Eau minérale Orezza, embouteillée, gazeuse, moyennement minéralisée (Rapaggio, 20B);0
Eau minérale Parot, embouteillée, gazeuse, moyennement minéralisée (St-Romain-le-Puy, 42);0
Eau minérale Plancoet, embouteillée, gazeuse ou non gazeuse, faiblement minéralisée (Plancoet, 22);0
Eau minérale Propiac, embouteillée, non gazeuse, fortement minéralisée (Propiac, 26);0
Eau minérale Puits St-Georges, embouteillée, gazeuse, moyennement minéralisée (St-Romain-le-Puy, 42);0
Eau minérale Quézac, embouteillée, gazeuse, moyennement minéralisée (Quézac, 48);0
Eau minérale Reine des basaltes, embouteillée, gazeuse, moyennement minéralisée (Asperjoc, 07);0
Eau minérale Rozana, embouteillée, gazeuse, fortement minéralisée (Beauregard, 63);0
Eau minérale Sail-les-Bains, embouteillée, non gazeuse, faiblement minéralisée (Sail-les-Bains, 42);0
Eau minérale Salvetat, embouteillée, gazeuse, moyennement minéralisée (La Salvetat, 34);0
Eau minérale Soultzmatt , embouteillée, gazeuse, moyennement minéralisée ( Soultzmatt, 68);0
Eau minérale St-Amand, embouteillée, gazeuse ou non gazeuse, moyennement minéralisée (St-Amand, 59);0
Eau minérale St-Antonin, embouteillée, non gazeuse, fortement minéralisée (St-Antonin-Noble-Val, 82);0
Eau minérale St-Diéry, embouteillée, gazeuse, fortement minéralisée (St-Diéry, 63);0
Eau minérale Ste-Marguerite, embouteillée, gazeuse, moyennement minéralisée (St-Maurice, 63);0
Eau minérale St-Yorre, embouteillée, gazeuse, fortement minéralisée (Saint-Yorre, 03);0
Eau minérale Thonon, embouteillée, non gazeuse, faiblement minéralisée (Thonon, 74);0
Eau minérale Ventadour, embouteillée, gazeuse, faiblement minéralisée (Le Pestrin, 07);0
Eau minérale Vernet, embouteillée, gazeuse, faiblement minéralisée (Prades, 07);0
Eau minérale Vichy Célestins, embouteillée, gazeuse, fortement minéralisée (Saint-Yorre, 03);0
Eau minérale Vittel, embouteillée, non gazeuse, moyennement minéralisée (Vittel, 88);0
Eau minérale Volvic, embouteillée, non gazeuse, faiblement minéralisée (Volvic, 63);0
Eau minérale Volvic active, embouteillée, gazeuse, faiblement minéralisée (Volvic, 63);0
Eau minérale Wattwiller, embouteillée, gazeuse ou non gazeuse, faiblement minéraliséee (Wattwiller, 68);0
Eau minérale Perrier, embouteillée, gazeuse, faiblement minéralisée (Vergèse, 30);0
Eau minérale Badoit, embouteillée, gazeuse, moyennement minéralisée (St-Galmier, 42);0
Eau minérale Avra, embouteillée, non gazeuse, faiblement minéralisée (Grèce);0
Eau minérale Beckerich, embouteillée, non gazeuse, faiblement minéralisée (Luxembourg);0
Eau minérale Caramulo, embouteillée, non gazeuse, très faiblement minéralisée (Portugal);0
Eau minérale Chaudfontaine, embouteillée, non gazeuse, faiblement minéralisée (Belgique);0
Eau minérale Christinen Brunnen, embouteillée, non gazeuse, moyennement minéralisée (Allemagne);0
Eau minérale Courmayeur, embouteillée, non gazeuse, fortement minéralisée (Italie);0
Eau minérale Highland spring, embouteillée, non gazeuse, faiblement minéralisée (Écosse);0
Eau minérale Levissima, embouteillée, non gazeuse, faiblement minéralisée (Italie);0
Eau minérale Luso, embouteillée, non gazeuse, très faiblement minéralisée (Portugal);0
Eau minérale Néro, embouteillée, non gazeuse, faiblement minéralisée (Grèce);0
Eau minérale Penacova, embouteillée, non gazeuse, très faiblement minéralisée (Portugal);0
Eau minérale San Benedetto, embouteillée, faiblement minéralisée (Italie);0
Eau minérale San Bernardo, embouteillée, très faiblement minéralisée (Italie);0
Eau minérale San Pellegrino, embouteillée, gazeuse, moyennement minéralisée (Italie);0
Eau minérale Spa-Reine, embouteillée, gazeuse ou non non gazeuse, moyennement minéralisée (Belgique);0
Eau minérale Talians, embouteillée, non gazeuse, fortement minéralisée (Italie);0
Eau minérale Valvert, embouteillée, non gazeuse, faiblement minéralisée (Belgique);0
Eau minérale Appollinaris, embouteillée, non gazeuse, fortement minéralisée (Allemagne);0
Eau de source Cristaline, embouteillée, non gazeuse;0
Eau minérale Biovive, embouteillée, non gazeuse, faiblement minéralisée (Dax, 40);0
Eau minérale La Cairolle, embouteillée, non gazeuse, fortement minéralisée (Les Aires, 34);0
Eau minérale Cilaos, embouteillée, gazeuse, fortement minéralisée (Cilaos, 974);0
Eau minérale La Française, embouteillée, non gazeuse, fortement minéralisée (Propiac, 26);0
Eau minérale Montcalm, embouteillée, non gazeuse, très faiblement minéralisée (Auzat, 09);0
Eau minérale Montclar, embouteillée, non gazeuse, faiblement minéralisée (Montclar, 04);0
Eau minérale Nessel, embouteillée, gazeuse, moyennement minéralisée (Soultzmatt, 68);0
Eau minérale Ogeu, embouteillée, gazeuse, faiblement minéralisée (Ogeu-les-Bains, 64);0
Eau minérale Ogeu, embouteillée, non gazeuse, faiblement minéralisée (Ogeu-les-Bains, 64);0
Eau minérale Prince Noir, embouteillée, non gazeuse, fortement minéralisée (St-Antonin-Noble-Val, 82);0
Eau minérale St-Alban, embouteillée, gazeuse, moyennement minéralisée (St-Alban, 42);0
Eau minérale St-Géron, embouteillée, gazeuse, moyennement minéralisée (St-Géron, 43);0
Eau minérale St-Michel-de-Mourcairol, embouteillée, gazeuse, moyennement minéralisée (Les Aires, 34);0
Eau minérale Treignac, embouteillée, non gazeuse, très faiblement minéralisée (Treignac, 19);0
Eau minérale Vals, embouteillée, gazeuse, moyennement minéralisée (Vals-les-Bains, 07);0
Eau minérale Vauban, embouteillée, non gazeuse, moyennement minéralisée (St-Amand-les-Eaux, 59);0
Eau minérale Carola, embouteillée, gazeuse ou non gazeuse, moyennement minéralisée (Ribeauville, 68);0
Eau minérale Mont-Blanc, embouteillée, non gazeuse, faiblement minéralisée (Italie);0
Eau minérale Eden (La Goa), embouteillée, non gazeuse, faiblement minéralisée (Suisse);0
Café, moulu;397
Café, poudre soluble;281
Café, décaféiné, poudre soluble;357
Cacao, non sucré, poudre soluble;331
Poudre cacaotée ou au chocolat pour boisson, sucrée;379
Poudre maltée, cacaotée ou au chocolat pour boisson, sucrée;402
Chicorée et café, poudre soluble;316
Chicorée, poudre soluble;323
Café au lait ou cappuccino, poudre soluble;409
Café au lait ou cappuccino au chocolat, poudre soluble;402
Poudre cacaotée ou au chocolat sucrée pour boisson, enrichie en vitamines et minéraux;376
Poudre cacaotée ou au chocolat pour boisson, sucrée , enrichie en vitamines;386
Café, non instantané, non sucré, prêt à boire;0.66
Thé infusé, non sucré;0.46
Tisane infusée, non sucrée;0.87
Café décaféiné, non instantané, non sucré, prêt à boire;4.42
Café expresso, non instantané, non sucré, prêt à boire;4.51
Café décaféiné, instantané, non sucré, prêt à boire;2.11
Café, instantané, non sucré, prêt à boire;1.69
Boisson cacaotée ou au chocolat, instantanée, sucrée, prête à boire (reconstituée avec du lait demi-écrémé standard);69.3
Boisson cacaotée ou au chocolat, instantanée, sucrée, enrichie en vitamines, prête à boire (reconstituée avec du lait demi-écrémé standard);71.9
